"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/13/2019","51","","Near Road","11-001-0051","AQS"
"07/14/2019","48","","RIVER TERRACE","11-001-0041","AQS"
"07/15/2019","43","","Near Road","11-001-0051","AQS"
"07/16/2019","56","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/17/2019","56","","RIVER TERRACE","11-001-0041","AQS"
"07/18/2019","53","","King Greenleaf Rec Center","11-001-0053","AQS"
"07/19/2019","50","","Near Road","11-001-0051","AQS"
"07/20/2019","55","","Near Road","11-001-0051","AQS"
"07/21/2019","54","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/22/2019","31","","Near Road","11-001-0051","AQS"
"07/23/2019","25","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/24/2019","35","","RIVER TERRACE","11-001-0041","AQS"
"07/25/2019","39","","Near Road","11-001-0051","AQS"
"07/26/2019","60","","RIVER TERRACE","11-001-0041","AQS"
"07/27/2019","52","","Near Road","11-001-0051","AQS"
"07/28/2019","50","","King Greenleaf Rec Center","11-001-0053","AQS"
"07/29/2019","56","","King Greenleaf Rec Center","11-001-0053","AQS"
"07/30/2019","56","","Near Road","11-001-0051","AQS"
"07/31/2019","37","","Near Road","11-001-0051","AQS"
"08/01/2019","40","","RIVER TERRACE","11-001-0041","AQS"
"08/02/2019","33","","Near Road","11-001-0051","AQS"
"08/03/2019","40","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/04/2019","40","","King Greenleaf Rec Center","11-001-0053","AQS"
"08/05/2019","55","","Near Road","11-001-0051","AQS"
"08/06/2019","49","","Near Road","11-001-0051","AQS"
"08/07/2019","53","","King Greenleaf Rec Center","11-001-0053","AQS"
"08/08/2019","38","","Near Road","11-001-0051","AQS"
"08/09/2019","35","","Near Road","11-001-0051","AQS"
"08/10/2019","28","","RIVER TERRACE","11-001-0041","AQS"
"08/11/2019","24","","King Greenleaf Rec Center","11-001-0053","AQS"
"08/12/2019","51","","Near Road","11-001-0051","AQS"
"08/13/2019","57","","RIVER TERRACE","11-001-0041","AQS"
"08/14/2019","53","","RIVER TERRACE","11-001-0041","AQS"
"08/15/2019","56","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/16/2019","45","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/17/2019","46","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/18/2019","45","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/19/2019","43","","Near Road","11-001-0051","AQS"
"08/20/2019","35","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/21/2019","33","","Near Road","11-001-0051","AQS"
"08/22/2019","43","","Near Road","11-001-0051","AQS"
"08/23/2019","34","","RIVER TERRACE","11-001-0041","AQS"
"08/24/2019","28","","King Greenleaf Rec Center","11-001-0053","AQS"
"08/25/2019","26","","RIVER TERRACE","11-001-0041","AQS"
"08/26/2019","26","","RIVER TERRACE","11-001-0041","AQS"
"08/27/2019","36","","Near Road","11-001-0051","AQS"
"08/28/2019","28","","RIVER TERRACE","11-001-0041","AQS"
"08/29/2019","30","","Near Road","11-001-0051","AQS"
"08/30/2019","41","","Near Road","11-001-0051","AQS"
"08/31/2019","45","","King Greenleaf Rec Center","11-001-0053","AQS"
"09/01/2019","35","","Near Road","11-001-0051","AQS"
"09/02/2019","37","","RIVER TERRACE","11-001-0041","AQS"
"09/03/2019","34","","RIVER TERRACE","11-001-0041","AQS"
"09/04/2019","45","","RIVER TERRACE","11-001-0041","AQS"
"09/05/2019","31","","Near Road","11-001-0051","AQS"
"09/06/2019","35","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/07/2019","41","","Near Road","11-001-0051","AQS"
"09/08/2019","42","","RIVER TERRACE","11-001-0041","AQS"
"09/09/2019","49","","Near Road","11-001-0051","AQS"
"09/10/2019","36","","RIVER TERRACE","11-001-0041","AQS"
"09/11/2019","47","","Near Road","11-001-0051","AQS"
"09/12/2019","45","","King Greenleaf Rec Center","11-001-0053","AQS"
"09/13/2019","25","","Near Road","11-001-0051","AQS"
"09/14/2019","33","","RIVER TERRACE","11-001-0041","AQS"
"09/15/2019","26","","RIVER TERRACE","11-001-0041","AQS"
"09/16/2019","46","","Near Road","11-001-0051","AQS"
"09/17/2019","43","","Near Road","11-001-0051","AQS"
"09/18/2019","29","","Near Road","11-001-0051","AQS"
"09/19/2019","24","","Near Road","11-001-0051","AQS"
"09/20/2019","35","","Near Road","11-001-0051","AQS"
"09/21/2019","45","","Near Road","11-001-0051","AQS"
"09/22/2019","55","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/23/2019","43","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/24/2019","22","","Near Road","11-001-0051","AQS"
"09/25/2019","35","","Near Road","11-001-0051","AQS"
"09/26/2019","40","","Near Road","11-001-0051","AQS"
"09/27/2019","35","","King Greenleaf Rec Center","11-001-0053","AQS"
